day,year,mo,da,pickup_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_TRIPS
4,2009,07,02,2009-07-02,67.6,66.1,1009.3,4.5,5.7,14.0,18.1,73.4,62.1,0.83,999.9,1,459217
5,2009,07,03,2009-07-03,71.8,67.6,1008.9,4.4,6.0,13.0,999.9,82.4,62.1,1.17,999.9,1,361917
6,2009,07,04,2009-07-04,71.7,64.6,1007.3,9.6,8.7,15.9,19.0,80.6,61.0,0.0,999.9,1,302128
7,2009,07,05,2009-07-05,69.2,55.7,1008.4,15.0,9.6,16.9,22.0,77.0,60.8,0.0,999.9,0,295276
1,2009,07,06,2009-07-06,70.0,59.4,1008.0,14.8,3.8,9.9,999.9,78.8,59.0,0.0,999.9,0,359351
2,2009,07,07,2009-07-07,66.0,61.9,1008.6,7.1,5.2,12.0,18.1,73.4,57.9,0.39,999.9,1,418571
3,2009,07,08,2009-07-08,64.3,60.6,1010.5,8.6,7.0,11.1,999.9,71.6,59.0,1.36,999.9,0,450549
4,2009,07,09,2009-07-09,61.8,55.1,1020.3,11.5,9.4,14.0,19.0,66.2,57.2,0.0,999.9,0,487036
5,2009,07,10,2009-07-10,61.0,51.0,1025.3,14.8,3.6,8.0,999.9,73.4,46.4,0.0,999.9,0,481219
6,2009,07,11,2009-07-11,63.0,51.9,1022.4,14.1,4.9,11.1,999.9,71.6,48.0,0.0,999.9,0,442918
7,2009,07,12,2009-07-12,67.8,63.3,1012.9,8.7,7.9,12.0,17.1,75.2,62.6,1.23,999.9,0,378248
1,2009,07,13,2009-07-13,67.0,52.9,1010.9,13.6,7.9,17.1,21.0,75.2,57.2,0.0,999.9,0,397304
2,2009,07,14,2009-07-14,68.1,53.4,1014.4,15.0,6.2,15.9,999.9,77.0,57.2,0.0,999.9,0,452898
3,2009,07,15,2009-07-15,68.4,54.0,1017.2,15.0,7.9,18.1,22.9,77.0,55.4,0.0,999.9,0,485261
4,2009,07,16,2009-07-16,71.0,64.0,1012.8,13.8,10.6,20.0,28.0,78.8,64.0,0.0,999.9,0,499082
5,2009,07,17,2009-07-17,75.5,66.9,1009.5,7.3,6.9,13.0,999.9,84.2,68.0,0.0,999.9,1,516428
6,2009,07,18,2009-07-18,74.7,71.2,1007.8,4.4,8.4,14.0,18.1,80.6,70.0,0.78,999.9,1,438883
7,2009,07,19,2009-07-19,71.5,62.3,1014.9,12.6,6.8,15.9,20.0,78.8,64.4,0.0,999.9,1,391429
1,2009,07,20,2009-07-20,70.2,61.8,1021.4,13.8,3.4,7.0,999.9,78.8,62.6,0.0,999.9,0,410911
2,2009,07,21,2009-07-21,68.6,65.7,1021.5,5.3,6.3,12.0,999.9,71.6,64.4,0.23,999.9,1,477807
3,2009,07,22,2009-07-22,72.7,68.2,1020.1,9.4,6.4,11.1,999.9,77.0,68.0,0.21,999.9,1,486132
4,2009,07,23,2009-07-23,67.2,63.9,1018.9,8.8,4.1,8.9,999.9,75.2,60.8,0.0,999.9,1,502592
5,2009,07,24,2009-07-24,66.0,62.4,1008.2,6.4,10.3,21.0,28.9,68.0,62.1,1.45,999.9,0,489946
6,2009,07,25,2009-07-25,70.4,63.0,1013.6,12.7,6.6,13.0,999.9,80.6,62.6,0.0,999.9,0,449643
7,2009,07,26,2009-07-26,72.9,70.0,1014.5,3.5,8.3,14.0,19.0,80.6,66.2,0.0,999.9,1,410245
1,2009,07,27,2009-07-27,74.8,69.6,1014.0,6.5,11.2,19.0,24.1,78.8,69.8,0.0,999.9,1,421588
2,2009,07,28,2009-07-28,73.5,68.1,1014.1,6.4,7.3,13.0,999.9,82.4,68.0,0.0,999.9,1,469610
3,2009,07,29,2009-07-29,74.5,71.3,1012.9,4.7,8.9,12.0,999.9,80.6,66.9,99.99,999.9,1,489150
4,2009,07,30,2009-07-30,76.2,71.7,1009.2,6.5,12.5,17.1,22.0,82.4,69.1,0.1,999.9,1,505321
5,2009,07,31,2009-07-31,74.1,69.9,1012.2,6.3,7.9,17.1,22.9,80.6,66.2,0.0,999.9,0,498025
6,2009,08,01,2009-08-01,72.5,65.8,1015.4,9.7,3.6,7.0,999.9,80.6,64.4,0.98,999.9,0,438823
7,2009,08,02,2009-08-02,71.1,67.1,1015.8,8.2,5.7,8.9,15.9,77.0,64.9,0.0,999.9,1,394197
1,2009,08,03,2009-08-03,74.8,67.8,1013.5,10.5,5.5,11.1,999.9,82.4,68.0,0.04,999.9,0,417427
2,2009,08,04,2009-08-04,73.7,67.9,1014.9,5.3,5.9,12.0,15.0,80.6,68.0,0.0,999.9,1,465754
3,2009,08,05,2009-08-05,74.3,69.9,1011.8,5.5,10.0,15.9,21.0,80.6,68.0,99.99,999.9,1,487787
4,2009,08,06,2009-08-06,70.8,63.9,1012.7,11.3,4.8,8.9,999.9,73.4,66.2,99.99,999.9,0,492732
5,2009,08,07,2009-08-07,70.0,57.0,1013.3,14.6,5.5,9.9,999.9,80.6,59.0,0.0,999.9,0,485827
6,2009,08,08,2009-08-08,64.9,50.3,1021.2,15.0,4.2,8.9,999.9,73.4,53.6,0.0,999.9,0,418264
7,2009,08,09,2009-08-09,65.4,53.8,1020.8,15.0,4.8,11.1,999.9,73.4,53.6,0.0,999.9,0,365236
1,2009,08,10,2009-08-10,75.0,68.3,1011.1,8.4,7.7,13.0,999.9,84.2,68.0,0.0,999.9,1,417641
2,2009,08,11,2009-08-11,76.5,70.1,1008.3,9.3,3.8,11.1,999.9,86.0,68.0,0.0,999.9,0,457720
3,2009,08,12,2009-08-12,68.2,64.6,1014.1,7.5,6.6,8.9,999.9,73.4,66.2,99.99,999.9,0,465546
4,2009,08,13,2009-08-13,66.5,64.8,1018.1,6.8,7.9,12.0,999.9,68.0,64.4,0.12,999.9,0,492965
5,2009,08,14,2009-08-14,68.2,60.4,1020.7,9.8,4.0,11.1,999.9,80.6,59.0,0.27,999.9,0,492042
6,2009,08,15,2009-08-15,72.5,66.3,1020.9,9.6,5.4,11.1,999.9,82.4,63.0,0.0,999.9,0,443105
7,2009,08,16,2009-08-16,75.3,69.0,1020.8,8.7,6.5,8.9,999.9,86.0,68.0,0.0,999.9,0,401117
1,2009,08,17,2009-08-17,74.2,68.7,1020.7,9.1,7.5,12.0,999.9,82.4,66.2,0.0,999.9,0,419795
2,2009,08,18,2009-08-18,76.5,69.0,1017.2,6.3,7.5,15.0,999.9,86.0,68.0,0.0,999.9,0,464610
3,2009,08,19,2009-08-19,76.8,70.1,1013.4,8.4,8.9,14.0,20.0,86.0,70.0,0.0,999.9,0,471242
4,2009,08,20,2009-08-20,76.8,71.0,1014.3,6.6,4.5,9.9,999.9,86.0,69.8,99.99,999.9,1,498510
5,2009,08,21,2009-08-21,79.8,75.3,1014.1,6.5,9.3,15.0,20.0,87.8,70.0,0.0,999.9,1,486161
6,2009,08,22,2009-08-22,79.2,74.5,1012.7,9.5,9.0,15.0,18.1,84.2,71.1,0.31,999.9,1,420738
7,2009,08,23,2009-08-23,75.4,71.1,1007.9,6.3,7.7,16.9,999.9,84.2,69.8,0.69,999.9,0,374497
1,2009,08,24,2009-08-24,75.4,70.8,1014.2,7.5,4.5,7.0,999.9,80.6,71.6,0.0,999.9,0,382999
2,2009,08,25,2009-08-25,71.6,67.3,1018.3,6.6,4.2,8.0,999.9,80.6,64.4,99.99,999.9,1,426678
3,2009,08,26,2009-08-26,75.3,68.3,1014.0,8.5,9.8,17.1,26.0,82.4,64.9,0.0,999.9,1,462314
4,2009,08,27,2009-08-27,68.8,56.4,1016.4,13.1,4.8,9.9,999.9,77.0,57.2,0.0,999.9,0,466090
5,2009,08,28,2009-08-28,63.8,56.8,1020.8,14.0,3.0,8.0,999.9,73.4,53.6,0.0,999.9,0,491592
6,2009,08,29,2009-08-29,66.0,63.1,1012.8,5.1,8.6,15.0,19.0,71.6,59.0,0.63,999.9,0,424371
7,2009,08,30,2009-08-30,60.4,59.3,1010.5,3.4,4.1,15.0,19.0,69.8,53.6,2.85,999.9,0,381672
1,2009,08,31,2009-08-31,64.2,57.5,1016.3,11.1,4.5,8.9,999.9,68.0,59.0,0.0,999.9,0,379068
2,2009,09,01,2009-09-01,59.7,49.1,1022.9,15.0,4.5,11.1,14.0,69.8,50.0,0.0,999.9,0,415946
3,2009,09,02,2009-09-02,58.8,47.6,1025.2,15.0,3.3,8.0,999.9,71.6,46.4,0.0,999.9,0,439318
4,2009,09,03,2009-09-03,58.9,49.3,1021.9,15.0,1.6,5.1,999.9,69.8,48.2,0.0,999.9,0,457529
5,2009,09,04,2009-09-04,59.8,51.8,1016.4,12.6,4.4,14.0,999.9,73.4,46.4,0.0,999.9,1,448732
6,2009,09,05,2009-09-05,65.3,57.5,1018.2,15.0,2.5,8.0,999.9,77.0,53.6,0.0,999.9,0,393872
7,2009,09,06,2009-09-06,61.9,52.3,1025.9,14.2,9.0,15.0,999.9,66.2,53.6,0.0,999.9,0,347952
1,2009,09,07,2009-09-07,55.9,47.8,1025.9,15.0,3.2,6.0,999.9,68.0,44.6,0.0,999.9,0,314305
2,2009,09,08,2009-09-08,61.8,54.7,1019.1,14.6,2.1,6.0,999.9,73.4,53.6,0.0,999.9,0,431868
3,2009,09,09,2009-09-09,61.6,56.6,1019.3,10.0,7.2,14.0,999.9,66.2,57.2,0.0,999.9,0,488771
4,2009,09,10,2009-09-10,57.4,48.8,1028.8,12.9,8.8,16.9,18.1,63.0,51.8,0.0,999.9,0,530388
5,2009,09,11,2009-09-11,61.0,56.3,1026.9,11.9,8.5,15.0,19.0,69.8,55.4,0.86,999.9,0,549753
6,2009,09,12,2009-09-12,66.0,64.3,1016.2,4.0,6.1,19.0,999.9,71.6,62.6,1.79,999.9,0,519468
7,2009,09,13,2009-09-13,65.1,62.7,1010.0,5.7,6.0,9.9,999.9,75.2,60.8,3.23,999.9,1,459030
1,2009,09,14,2009-09-14,63.4,55.5,1010.7,14.3,6.0,11.1,999.9,73.4,51.8,0.14,999.9,0,463118
2,2009,09,15,2009-09-15,65.7,57.7,1011.6,13.8,5.1,8.9,999.9,73.4,59.0,0.0,999.9,0,500932
3,2009,09,16,2009-09-16,60.4,53.9,1021.3,15.0,7.3,14.0,999.9,66.2,53.6,0.0,999.9,0,521234
4,2009,09,17,2009-09-17,55.8,47.8,1024.4,13.3,8.8,14.0,999.9,62.6,50.0,0.02,999.9,0,535162
5,2009,09,18,2009-09-18,57.2,51.0,1015.4,14.8,9.4,20.0,24.1,68.0,44.6,0.0,999.9,0,532709
6,2009,09,19,2009-09-19,57.3,42.5,1018.9,15.0,6.3,12.0,19.0,64.4,46.4,0.0,999.9,0,492744
7,2009,09,20,2009-09-20,52.3,41.2,1025.8,15.0,4.1,12.0,999.9,68.0,39.2,0.0,999.9,0,413176
1,2009,09,21,2009-09-21,58.5,49.7,1025.8,15.0,3.6,9.9,999.9,71.6,44.6,0.0,999.9,0,432885
2,2009,09,22,2009-09-22,59.5,54.0,1025.6,12.1,5.0,12.0,18.1,73.4,44.6,0.0,999.9,1,453612
3,2009,09,23,2009-09-23,67.8,63.1,1021.2,14.8,8.2,15.9,22.9,75.2,62.6,0.0,999.9,0,470106
4,2009,09,24,2009-09-24,69.9,64.7,1014.5,9.5,8.6,17.1,22.0,77.0,62.6,0.0,999.9,0,494359
5,2009,09,25,2009-09-25,55.8,46.8,1019.6,15.0,10.3,22.9,31.1,61.0,50.0,0.0,999.9,0,534164
6,2009,09,26,2009-09-26,50.5,39.0,1026.3,15.0,5.0,9.9,999.9,59.0,39.2,0.0,999.9,0,535047
7,2009,09,27,2009-09-27,58.3,54.2,1011.4,9.2,8.8,15.9,21.0,64.4,44.6,0.01,999.9,0,452024
1,2009,09,28,2009-09-28,65.2,59.6,999.5,10.5,10.8,15.9,25.1,69.8,60.8,1.44,999.9,0,393072
2,2009,09,29,2009-09-29,61.2,51.4,1000.0,12.6,10.6,19.0,26.0,68.0,53.6,0.14,999.9,0,459106
3,2009,09,30,2009-09-30,56.8,46.7,1005.1,15.0,7.5,14.0,22.0,62.6,50.0,0.0,999.9,0,504505
4,2009,10,01,2009-10-01,48.9,39.2,1011.2,11.0,7.3,12.0,21.0,57.2,39.2,0.0,999.9,0,523009
5,2009,10,02,2009-10-02,51.4,42.6,9999.9,10.0,5.6,11.1,15.0,59.0,41.0,99.99,999.9,0,547031
6,2009,10,03,2009-10-03,59.0,55.5,9999.9,7.2,9.3,19.0,22.9,66.2,50.0,99.99,999.9,0,522853
7,2009,10,04,2009-10-04,62.6,60.4,9999.9,5.9,4.6,8.9,999.9,68.0,55.4,0.0,999.9,1,436158
1,2009,10,05,2009-10-05,59.8,53.4,9999.9,6.2,7.2,15.9,22.0,66.2,53.6,0.0,999.9,1,439893
2,2009,10,06,2009-10-06,56.6,45.6,9999.9,10.0,9.9,15.0,18.1,64.4,50.0,0.0,999.9,0,476496
3,2009,10,07,2009-10-07,59.7,52.5,9999.9,8.0,12.7,27.0,34.0,71.6,50.0,99.99,999.9,0,502680
4,2009,10,08,2009-10-08,56.1,41.8,9999.9,10.0,13.0,21.0,29.9,62.6,48.2,0.0,999.9,0,526548
5,2009,10,09,2009-10-09,52.5,48.4,9999.9,10.0,4.0,12.0,18.1,62.6,41.0,99.99,999.9,0,545705
6,2009,10,10,2009-10-10,63.1,58.0,9999.9,8.0,8.9,17.1,22.9,66.2,51.8,99.99,999.9,0,541761
7,2009,10,11,2009-10-11,48.1,38.7,9999.9,10.0,7.0,18.1,25.1,60.8,32.0,0.0,999.9,0,463646
1,2009,10,12,2009-10-12,46.0,31.8,9999.9,10.0,6.5,12.0,19.0,53.6,37.4,0.0,999.9,0,412750
2,2009,10,13,2009-10-13,48.9,43.0,9999.9,10.0,6.1,15.9,22.9,59.0,41.0,99.99,999.9,0,481219
3,2009,10,14,2009-10-14,42.9,31.8,9999.9,10.0,7.3,15.0,25.1,50.0,33.8,0.0,999.9,0,510052
4,2009,10,15,2009-10-15,38.8,34.2,9999.9,8.8,4.8,12.0,17.1,46.4,30.2,99.99,999.9,0,533333
5,2009,10,16,2009-10-16,42.6,39.0,9999.9,5.9,15.5,22.9,36.9,46.4,41.0,99.99,999.9,0,550645
6,2009,10,17,2009-10-17,46.4,39.3,9999.9,9.1,11.5,18.1,26.0,50.0,44.6,99.99,999.9,0,541136
7,2009,10,18,2009-10-18,47.3,43.7,9999.9,5.5,16.7,28.0,41.0,50.0,44.6,99.99,999.9,0,472394
1,2009,10,19,2009-10-19,42.7,38.8,9999.9,7.4,10.0,19.0,33.0,48.9,35.6,99.99,999.9,0,452765
2,2009,10,20,2009-10-20,42.4,36.2,9999.9,8.6,4.7,15.0,21.0,59.0,28.4,99.99,999.9,1,473346
3,2009,10,21,2009-10-21,52.9,44.3,9999.9,10.0,5.3,8.9,999.9,64.4,42.8,0.0,999.9,0,503957
4,2009,10,22,2009-10-22,57.0,50.6,9999.9,9.4,7.7,19.0,27.0,68.0,50.0,0.0,999.9,1,527704
5,2009,10,23,2009-10-23,49.5,41.4,9999.9,10.0,12.0,18.1,26.0,60.8,44.6,0.0,999.9,0,560164
6,2009,10,24,2009-10-24,54.7,50.5,9999.9,8.4,13.5,20.0,27.0,66.2,44.6,99.99,999.9,0,541727
7,2009,10,25,2009-10-25,59.9,53.1,9999.9,8.1,11.6,27.0,36.9,66.2,48.2,99.99,999.9,0,447544
1,2009,10,26,2009-10-26,47.0,38.2,9999.9,10.0,5.2,8.9,14.0,55.4,37.4,0.0,999.9,0,448371
2,2009,10,27,2009-10-27,44.8,42.3,9999.9,9.8,4.8,17.1,22.0,55.4,33.8,99.99,999.9,0,489586
3,2009,10,28,2009-10-28,52.6,51.5,9999.9,5.1,10.0,28.0,38.1,55.4,50.0,99.99,999.9,0,512175
4,2009,10,29,2009-10-29,48.4,42.1,9999.9,8.5,14.1,24.1,35.0,50.0,39.2,99.99,999.9,0,523549
5,2009,10,30,2009-10-30,44.0,38.5,9999.9,10.0,3.0,9.9,17.1,53.6,33.8,0.0,999.9,0,553500
6,2009,10,31,2009-10-31,55.3,50.8,9999.9,10.0,10.2,22.9,33.0,69.8,37.4,0.0,999.9,0,542854
7,2009,11,01,2009-11-01,55.9,50.1,9999.9,8.8,9.9,25.1,35.0,66.2,46.4,99.99,999.9,0,482402
1,2009,11,02,2009-11-02,47.2,41.1,9999.9,9.6,9.3,15.9,21.0,51.8,41.0,99.99,999.9,0,453816
2,2009,11,03,2009-11-03,49.6,43.5,9999.9,10.0,7.7,12.0,18.1,55.4,46.4,0.0,999.9,0,473233
3,2009,11,04,2009-11-04,45.1,31.2,9999.9,10.0,7.2,14.0,18.1,50.0,37.4,0.0,999.9,0,503664
4,2009,11,05,2009-11-05,42.7,34.9,9999.9,10.0,3.2,7.0,999.9,50.0,37.4,99.99,999.9,0,541229
5,2009,11,06,2009-11-06,40.4,33.0,9999.9,10.0,7.5,17.1,26.0,46.4,37.4,99.99,999.9,0,545020
6,2009,11,07,2009-11-07,37.3,27.5,9999.9,10.0,6.8,15.0,20.0,46.4,26.6,0.0,999.9,0,540723
7,2009,11,08,2009-11-08,51.3,44.6,9999.9,10.0,9.3,17.1,22.9,60.8,42.8,0.0,999.9,0,447257
1,2009,11,09,2009-11-09,45.9,38.8,9999.9,8.8,5.1,15.9,21.0,66.2,32.0,0.0,999.9,1,437656
2,2009,11,10,2009-11-10,57.3,49.6,9999.9,9.5,9.0,14.0,22.0,64.4,51.8,0.0,999.9,0,476906
3,2009,11,11,2009-11-11,49.6,41.0,9999.9,10.0,12.0,20.0,27.0,51.8,46.4,0.0,999.9,0,485349
4,2009,11,12,2009-11-12,47.2,38.1,9999.9,10.0,15.7,22.9,29.9,50.0,46.4,0.0,999.9,0,533748
5,2009,11,13,2009-11-13,49.9,46.1,9999.9,8.9,17.8,24.1,34.0,51.8,46.4,99.99,999.9,0,552893
6,2009,11,14,2009-11-14,57.4,54.8,9999.9,5.6,15.7,19.0,34.0,62.6,51.8,99.99,999.9,0,541479
7,2009,11,15,2009-11-15,59.2,58.8,9999.9,1.6,6.7,15.9,20.0,62.6,53.6,99.99,999.9,1,440872
1,2009,11,16,2009-11-16,53.9,47.6,9999.9,5.7,5.8,15.9,20.0,59.0,46.4,99.99,999.9,1,441757
2,2009,11,17,2009-11-17,42.9,30.6,9999.9,10.0,6.2,12.0,17.1,48.2,35.6,0.0,999.9,0,476922
3,2009,11,18,2009-11-18,42.2,35.2,9999.9,10.0,2.9,7.0,999.9,50.0,32.0,0.0,999.9,0,504612
4,2009,11,19,2009-11-19,41.9,37.5,9999.9,10.0,3.1,9.9,999.9,59.0,30.2,0.0,999.9,0,531206
5,2009,11,20,2009-11-20,56.9,53.7,9999.9,8.5,12.1,22.9,28.9,60.8,48.2,99.99,999.9,0,553471
6,2009,11,21,2009-11-21,47.7,38.8,9999.9,10.0,7.2,12.0,999.9,53.6,41.0,0.0,999.9,0,538366
7,2009,11,22,2009-11-22,44.7,39.0,9999.9,9.4,8.2,17.1,22.9,51.8,37.4,0.0,999.9,0,451511
1,2009,11,23,2009-11-23,47.4,41.1,9999.9,9.4,11.9,20.0,26.0,50.0,44.6,99.99,999.9,0,445075
2,2009,11,24,2009-11-24,48.4,47.8,9999.9,3.0,14.1,18.1,29.9,50.0,46.4,99.99,999.9,0,474969
3,2009,11,25,2009-11-25,48.9,47.7,9999.9,1.9,10.3,17.1,25.1,50.0,48.2,99.99,999.9,1,470537
4,2009,11,26,2009-11-26,48.0,47.1,9999.9,5.3,3.4,9.9,999.9,50.0,46.4,0.0,999.9,1,309751
5,2009,11,27,2009-11-27,45.9,45.1,9999.9,5.1,12.3,17.1,28.0,46.4,44.6,99.99,999.9,0,354945
6,2009,11,28,2009-11-28,44.3,35.4,9999.9,9.3,19.0,26.0,35.9,51.1,41.0,99.99,999.9,0,423285
7,2009,11,29,2009-11-29,44.0,33.7,9999.9,10.0,12.6,18.1,27.0,50.0,39.2,0.0,999.9,0,392146
1,2009,11,30,2009-11-30,51.5,46.6,9999.9,9.2,11.1,20.0,28.0,57.2,42.8,99.99,999.9,0,450539
2,2009,12,01,2009-12-01,38.3,28.1,9999.9,9.9,7.9,14.0,19.0,44.6,30.2,99.99,999.9,0,486874
3,2009,12,02,2009-12-02,41.0,33.6,9999.9,10.0,6.2,14.0,18.1,53.6,28.4,0.0,999.9,0,504100
4,2009,12,03,2009-12-03,55.2,51.2,9999.9,6.8,16.9,29.9,44.1,62.6,46.4,99.99,999.9,0,533216
5,2009,12,04,2009-12-04,46.9,37.6,9999.9,10.0,6.4,12.0,999.9,54.0,33.8,0.0,999.9,0,561295
6,2009,12,05,2009-12-05,41.5,38.6,9999.9,8.2,5.1,19.0,26.0,48.2,35.6,99.99,999.9,0,576771
7,2009,12,06,2009-12-06,34.3,29.3,9999.9,7.1,12.6,22.0,41.0,41.0,28.4,99.99,999.9,0,454212
1,2009,12,07,2009-12-07,32.0,25.3,9999.9,10.0,3.5,8.9,999.9,41.0,24.8,0.0,999.9,0,468013
2,2009,12,08,2009-12-08,34.0,25.8,9999.9,10.0,6.2,15.0,999.9,39.2,26.6,0.0,999.9,0,504885
3,2009,12,09,2009-12-09,36.9,34.2,9999.9,6.2,10.0,28.9,40.0,57.2,24.8,99.99,999.9,0,518683
4,2009,12,10,2009-12-10,45.3,34.0,9999.9,9.5,16.1,28.9,41.0,57.2,35.6,99.99,999.9,0,557444
5,2009,12,11,2009-12-11,28.2,8.0,9999.9,10.0,20.0,25.1,34.0,35.6,23.0,0.0,999.9,0,596882
6,2009,12,12,2009-12-12,26.0,6.3,9999.9,10.0,15.5,27.0,34.0,32.0,23.0,0.0,999.9,0,563707
7,2009,12,13,2009-12-13,31.4,22.6,9999.9,9.1,6.0,17.1,24.1,48.2,15.8,99.99,999.9,0,485447
1,2009,12,14,2009-12-14,41.6,37.6,9999.9,8.4,9.6,22.0,26.0,53.6,33.8,99.99,999.9,0,467920
2,2009,12,15,2009-12-15,42.9,40.1,9999.9,9.8,4.8,12.0,999.9,50.0,37.4,0.0,999.9,0,508401
3,2009,12,16,2009-12-16,35.2,18.9,9999.9,10.0,10.8,19.0,33.0,44.6,28.4,0.0,999.9,0,546710
4,2009,12,17,2009-12-17,23.8,4.3,9999.9,10.0,12.6,20.0,28.9,28.4,17.6,0.0,999.9,0,566530
5,2009,12,18,2009-12-18,16.0,-3.6,9999.9,10.0,8.2,18.1,25.1,28.4,6.8,0.0,999.9,0,581923
6,2009,12,19,2009-12-19,23.8,9.0,9999.9,10.0,8.0,19.0,26.0,33.8,15.8,0.0,999.9,0,488811
7,2009,12,20,2009-12-20,27.9,24.2,9999.9,2.9,19.0,34.0,45.1,35.6,21.2,99.99,999.9,1,312230
1,2009,12,21,2009-12-21,24.1,10.6,9999.9,8.6,12.5,18.1,29.9,32.0,19.4,99.99,999.9,0,425440
2,2009,12,22,2009-12-22,23.3,5.6,9999.9,10.0,10.7,15.9,24.1,28.4,17.6,0.0,999.9,0,455090
3,2009,12,23,2009-12-23,19.5,5.8,9999.9,10.0,9.7,15.9,20.0,24.8,12.2,0.0,999.9,0,456094
4,2009,12,24,2009-12-24,24.9,18.5,9999.9,7.4,8.9,12.0,21.0,37.4,12.2,99.99,999.9,0,382635
5,2009,12,25,2009-12-25,34.5,31.4,9999.9,10.0,4.6,11.1,14.0,37.4,32.0,0.0,999.9,0,233221
6,2009,12,26,2009-12-26,36.2,32.9,9999.9,10.0,9.2,18.1,25.1,41.0,32.0,0.0,999.9,0,320616
7,2009,12,27,2009-12-27,45.8,43.9,9999.9,6.1,17.4,25.1,34.0,50.0,41.0,99.99,999.9,1,312947
1,2009,12,28,2009-12-28,35.2,32.3,9999.9,9.5,6.6,20.0,28.0,41.0,26.6,99.99,999.9,0,375455
2,2009,12,29,2009-12-29,26.3,10.9,9999.9,10.0,17.5,28.0,45.1,32.0,14.0,99.99,999.9,0,447016
3,2009,12,30,2009-12-30,17.2,-2.6,9999.9,10.0,12.2,22.9,33.0,30.2,10.4,0.0,999.9,0,429635
4,2009,12,31,2009-12-31,27.1,20.8,9999.9,7.7,1.6,8.0,999.9,37.9,17.6,99.99,999.9,0,461201
